DATE,ENERGY,HDD18_3,CDD0,CDD10,PRECTOT,RH2M,T2M,T2M_MIN,T2M_MAX,ALLSKY,HOLIDAY,hour,dayofweek,is_weekend,month,lag_1,lag_24,rolling_mean_24,rolling_std_24
2016-01-02 01:00:00,115.614,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,1,5,1,1,114.112,113.415,114.840375,2.015072354133046
2016-01-02 02:00:00,113.107,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,2,5,1,1,115.614,112.431,114.86854166666666,1.9844213038646499
2016-01-02 03:00:00,116.171,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,3,5,1,1,113.107,111.517,115.06245833333334,1.866564153014528
2016-01-02 04:00:00,115.038,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,4,5,1,1,116.171,117.24,114.97070833333333,1.808077251119125
2016-01-02 05:00:00,114.848,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,5,5,1,1,115.038,114.948,114.96654166666667,1.8082470728441051
2016-01-02 06:00:00,114.799,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,6,5,1,1,114.848,118.098,114.82908333333334,1.68074757995846
2016-01-02 07:00:00,114.751,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,7,5,1,1,114.799,119.182,114.64445833333333,1.4020656493705643
2016-01-02 08:00:00,116.699,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,8,5,1,1,114.751,116.869,114.637375,1.3907220149354296
2016-01-02 09:00:00,113.864,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,9,5,1,1,116.699,116.89,114.51129166666665,1.3125934990851293
2016-01-02 10:00:00,116.529,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,10,5,1,1,113.864,114.626,114.59058333333333,1.3757817672198094
2016-01-02 11:00:00,115.103,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,11,5,1,1,116.529,115.988,114.55370833333332,1.3482839166612877
2016-01-02 12:00:00,111.876,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,12,5,1,1,115.103,115.858,114.38779166666667,1.4237009938633505
2016-01-02 13:00:00,116.213,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,13,5,1,1,111.876,115.119,114.433375,1.4650436352753544
2016-01-02 14:00:00,114.152,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,14,5,1,1,116.213,113.394,114.46495833333334,1.4497533067257604
2016-01-02 15:00:00,115.357,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,15,5,1,1,114.152,116.401,114.42145833333332,1.4040796762715422
2016-01-02 16:00:00,113.202,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,16,5,1,1,115.357,113.698,114.40079166666668,1.4187647713589568
2016-01-02 17:00:00,115.251,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,17,5,1,1,113.202,114.385,114.43687499999999,1.4293188804309833
2016-01-02 18:00:00,116.607,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,18,5,1,1,115.251,113.489,114.56679166666667,1.4802144668099897
2016-01-02 19:00:00,114.5,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,19,5,1,1,116.607,110.768,114.72229166666666,1.2403912243694386
2016-01-02 20:00:00,113.262,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,20,5,1,1,114.5,114.425,114.67383333333333,1.2747520020249539
2016-01-02 21:00:00,112.782,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,21,5,1,1,113.262,113.896,114.62741666666666,1.3236499575586025
2016-01-02 22:00:00,114.866,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,22,5,1,1,112.782,112.959,114.70687500000001,1.2755035258928842
2016-01-02 23:00:00,112.163,12.83,5.47,0.0,0.32,84.78,4.78,2.52,8.42,1.99,1,23,5,1,1,114.866,114.262,114.61941666666667,1.3753849079175986
2016-01-03 00:00:00,113.416,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,0,6,1,1,112.163,114.112,114.59041666666667,1.3937637475763016
2016-01-03 01:00:00,114.788,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,1,6,1,1,113.416,115.614,114.556,1.3774924918914644
2016-01-03 02:00:00,116.355,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,2,6,1,1,114.788,113.107,114.69133333333333,1.3884524593532268
2016-01-03 03:00:00,114.355,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,3,6,1,1,116.355,116.171,114.61566666666666,1.353348525651845
2016-01-03 04:00:00,113.204,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,4,6,1,1,114.355,115.038,114.53925,1.3799809466233384
2016-01-03 05:00:00,114.409,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,5,6,1,1,113.204,114.848,114.52095833333334,1.3786193307283696
2016-01-03 06:00:00,114.615,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,6,6,1,1,114.409,114.799,114.51329166666666,1.3775170630732447
2016-01-03 07:00:00,115.249,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,7,6,1,1,114.615,114.751,114.53404166666665,1.384983957815311
2016-01-03 08:00:00,109.989,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,8,6,1,1,115.249,116.699,114.25445833333333,1.5909049647556015
2016-01-03 09:00:00,114.154,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,9,6,1,1,109.989,113.864,114.26654166666667,1.5889104546735724
2016-01-03 10:00:00,115.111,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,10,6,1,1,114.154,116.529,114.20745833333335,1.5262521581843165
2016-01-03 11:00:00,115.968,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,11,6,1,1,115.111,115.103,114.2435,1.5581983185717936
2016-01-03 12:00:00,114.433,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,12,6,1,1,115.968,111.876,114.35004166666666,1.4744492407016796
2016-01-03 13:00:00,113.579,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,13,6,1,1,114.433,116.213,114.24029166666668,1.4270191333279403
2016-01-03 14:00:00,112.467,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,14,6,1,1,113.579,114.152,114.17008333333332,1.472284380512616
2016-01-03 15:00:00,114.57,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,15,6,1,1,112.467,115.357,114.13729166666667,1.4533416510614816
2016-01-03 16:00:00,114.347,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,16,6,1,1,114.57,113.202,114.185,1.4400366239303908
2016-01-03 17:00:00,115.207,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,17,6,1,1,114.347,115.251,114.18316666666668,1.4386478152181135
2016-01-03 18:00:00,112.127,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,18,6,1,1,115.207,116.607,113.99650000000001,1.4006188073413226
2016-01-03 19:00:00,113.921,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,19,6,1,1,112.127,114.5,113.972375,1.3965497800090931
2016-01-03 20:00:00,113.508,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,20,6,1,1,113.921,113.262,113.982625,1.3920046480588202
2016-01-03 21:00:00,110.481,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,21,6,1,1,113.508,112.782,113.88674999999999,1.5487138913922318
2016-01-03 22:00:00,112.131,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,22,6,1,1,110.481,114.866,113.77279166666666,1.5739439517993503
2016-01-03 23:00:00,111.178,11.76,6.54,0.0,5.05,94.54,6.92,2.96,10.13,0.46,1,23,6,1,1,112.131,112.163,113.73174999999999,1.6296035594185232
2016-01-04 00:00:00,116.536,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,0,0,0,1,111.178,113.416,113.86175000000001,1.724976351444692
2016-01-04 01:00:00,115.404,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,1,0,0,1,116.536,114.788,113.88741666666668,1.7438373956074016
2016-01-04 02:00:00,113.502,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,2,0,0,1,115.404,116.355,113.76854166666668,1.663713917170967
2016-01-04 03:00:00,110.16,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,3,0,0,1,113.502,114.355,113.59375,1.8130816967611743
2016-01-04 04:00:00,115.141,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,4,0,0,1,110.16,113.204,113.67445833333333,1.8379199722173198
2016-01-04 05:00:00,117.049,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,5,0,0,1,115.141,114.409,113.78445833333332,1.958819808371007
2016-01-04 06:00:00,139.773,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,6,0,0,1,117.049,114.615,114.83270833333334,5.659132868582908
2016-01-04 07:00:00,144.662,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,7,0,0,1,139.773,115.249,116.05825,8.31488852313572
2016-01-04 08:00:00,152.135,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,8,0,0,1,144.662,109.989,117.81433333333335,10.9957377974443
2016-01-04 09:00:00,173.43,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,9,0,0,1,152.135,114.154,120.28416666666668,15.762015763459214
2016-01-04 10:00:00,174.817,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,10,0,0,1,173.43,115.111,122.77191666666666,19.23841367616787
2016-01-04 11:00:00,177.975,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,11,0,0,1,174.817,115.968,125.35554166666667,22.217859238203484
2016-01-04 12:00:00,163.753,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,12,0,0,1,177.975,114.433,127.41054166666667,23.41244139708848
2016-01-04 13:00:00,135.455,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,13,0,0,1,163.753,113.579,128.32204166666665,23.275978726872935
2016-01-04 14:00:00,122.452,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,14,0,0,1,135.455,112.467,128.73808333333332,23.068572766233622
2016-01-04 15:00:00,117.989,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,15,0,0,1,122.452,114.57,128.88054166666666,22.987689786868966
2016-01-04 16:00:00,134.675,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,16,0,0,1,117.989,114.347,129.72754166666667,22.80266324830459
2016-01-04 17:00:00,153.766,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,17,0,0,1,134.675,115.207,131.33416666666668,23.09165562947244
2016-01-04 18:00:00,150.771,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,18,0,0,1,153.766,112.127,132.94433333333333,23.04137755480757
2016-01-04 19:00:00,125.23,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,19,0,0,1,150.771,113.921,133.41554166666666,22.749210845327067
2016-01-04 20:00:00,118.411,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,20,0,0,1,125.23,113.508,133.61983333333333,22.584080654622507
2016-01-04 21:00:00,114.061,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,21,0,0,1,118.411,110.481,133.769,22.435942063146612
2016-01-04 22:00:00,116.126,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,22,0,0,1,114.061,112.131,133.93545833333334,22.28272075530858
2016-01-04 23:00:00,113.38,10.96,7.34,0.0,30.05,95.45,7.44,3.8,10.89,0.45,1,23,0,0,1,116.126,111.178,134.02720833333333,22.189279375761206
2016-01-05 00:00:00,114.951,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,0,1,0,1,113.38,116.536,133.96116666666666,22.24588816069102
2016-01-05 01:00:00,114.638,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,1,1,0,1,114.951,115.404,133.92925,22.274201599413306
2016-01-05 02:00:00,116.307,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,2,1,0,1,114.638,113.502,134.046125,22.16947041651909
2016-01-05 03:00:00,117.567,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,3,1,0,1,116.307,110.16,134.35475,21.872052084099636
2016-01-05 04:00:00,121.19,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,4,1,0,1,117.567,115.141,134.60679166666668,21.674981658844235
2016-01-05 05:00:00,118.423,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,5,1,0,1,121.19,117.049,134.66404166666666,21.628354468109464
2016-01-05 06:00:00,134.18,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,6,1,0,1,118.423,139.773,134.431,21.601027481600767
2016-01-05 07:00:00,140.649,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,7,1,0,1,134.18,144.662,134.26379166666666,21.53381575867652
2016-01-05 08:00:00,152.083,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,8,1,0,1,140.649,152.135,134.261625,21.531941966605405
2016-01-05 09:00:00,164.968,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,9,1,0,1,152.083,173.43,133.90904166666667,20.923359503464873
2016-01-05 10:00:00,164.542,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,10,1,0,1,164.968,174.817,133.48091666666667,20.14039686348912
2016-01-05 11:00:00,166.582,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,11,1,0,1,164.542,177.975,133.00620833333332,19.15630034622322
2016-01-05 12:00:00,144.635,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,12,1,0,1,166.582,163.753,132.209625,18.195559546248873
2016-01-05 13:00:00,122.227,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,13,1,0,1,144.635,135.455,131.65845833333333,18.29306404072838
2016-01-05 14:00:00,118.695,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,14,1,0,1,122.227,122.452,131.50191666666666,18.391085583762496
2016-01-05 15:00:00,118.897,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,15,1,0,1,118.695,117.989,131.53975,18.36299127912968
2016-01-05 16:00:00,128.744,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,16,1,0,1,118.897,134.675,131.29262500000002,18.358871860321294
2016-01-05 17:00:00,138.203,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,17,1,0,1,128.744,153.766,130.64416666666668,17.796820416229902
2016-01-05 18:00:00,134.991,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,18,1,0,1,138.203,150.771,129.98666666666668,17.305624844985044
2016-01-05 19:00:00,117.983,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,19,1,0,1,134.991,125.23,129.68470833333333,17.454812246581373
2016-01-05 20:00:00,119.631,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,20,1,0,1,117.983,118.411,129.73554166666668,17.422298752583615
2016-01-05 21:00:00,114.281,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,21,1,0,1,119.631,114.061,129.74470833333334,17.413748869609947
2016-01-05 22:00:00,116.486,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,22,1,0,1,114.281,116.126,129.75970833333332,17.401658682758754
2016-01-05 23:00:00,111.927,15.26,3.04,0.0,1.37,87.25,2.42,0.68,5.4,1.84,1,23,1,0,1,116.486,113.38,129.69916666666668,17.463540090507273
2016-01-06 00:00:00,114.377,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,0,2,0,1,111.927,114.951,129.67525,17.484996040705283
2016-01-06 01:00:00,115.26,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,1,2,0,1,114.377,114.638,129.7011666666667,17.462184503182574
2016-01-06 02:00:00,119.34,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,2,2,0,1,115.26,116.307,129.82754166666666,17.37177645287391
2016-01-06 03:00:00,113.989,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,3,2,0,1,119.34,117.567,129.67845833333334,17.49647578670377
2016-01-06 04:00:00,117.86,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,4,2,0,1,113.989,121.19,129.53970833333332,17.579723113215408
2016-01-06 05:00:00,111.252,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,5,2,0,1,117.86,118.423,129.24091666666666,17.835955046689744
2016-01-06 06:00:00,118.804,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,6,2,0,1,111.252,134.18,128.60025,17.926751349164846
2016-01-06 07:00:00,115.181,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,7,2,0,1,118.804,140.649,127.53908333333334,17.936302296730812
2016-01-06 08:00:00,119.254,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,8,2,0,1,115.181,152.083,126.17120833333333,17.220670610027316
2016-01-06 09:00:00,117.037,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,9,2,0,1,119.254,164.968,124.17408333333333,15.184664652255234
2016-01-06 10:00:00,119.352,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,10,2,0,1,117.037,164.542,122.29116666666668,12.531348033481146
2016-01-06 11:00:00,118.044,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,11,2,0,1,119.352,166.582,120.26875000000001,8.261998306810446
2016-01-06 12:00:00,116.697,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,12,2,0,1,118.044,144.635,119.10466666666667,6.448846433187868
2016-01-06 13:00:00,115.415,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,13,2,0,1,116.697,122.227,118.82083333333334,6.455353253168076
2016-01-06 14:00:00,116.518,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,14,2,0,1,115.415,118.695,118.730125,6.472470815844268
2016-01-06 15:00:00,115.438,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,15,2,0,1,116.518,118.897,118.58600000000001,6.507012658596083
2016-01-06 16:00:00,111.608,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,16,2,0,1,115.438,128.744,117.872,6.280128536485677
2016-01-06 17:00:00,113.558,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,17,2,0,1,111.608,138.203,116.845125,4.601861781198978
2016-01-06 18:00:00,115.079,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,18,2,0,1,113.558,134.991,116.01545833333334,2.5056469090775377
2016-01-06 19:00:00,131.866,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,19,2,0,1,115.079,117.983,116.59391666666666,4.084636335434593
2016-01-06 20:00:00,130.018,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,20,2,0,1,131.866,119.631,117.02670833333333,4.89109471590221
2016-01-06 21:00:00,128.246,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,21,2,0,1,130.018,114.281,117.60858333333334,5.358586282712489
2016-01-06 22:00:00,119.031,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,22,2,0,1,128.246,116.486,117.71462500000001,5.360586760651987
2016-01-06 23:00:00,119.965,13.75,4.55,0.0,4.5,95.71,3.98,0.82,8.28,0.57,1,23,2,0,1,119.031,111.927,118.04954166666666,5.23284361948775
2016-01-07 00:00:00,119.208,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,0,3,0,1,119.965,114.377,118.25083333333333,5.178060016669475
2016-01-07 01:00:00,120.027,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,1,3,0,1,119.208,115.26,118.44945833333333,5.14969761019504
2016-01-07 02:00:00,122.728,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,2,3,0,1,120.027,119.34,118.590625,5.221112856657647
2016-01-07 03:00:00,128.337,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,3,3,0,1,122.728,113.989,119.18845833333334,5.486028134619794
2016-01-07 04:00:00,131.244,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,4,3,0,1,128.337,117.86,119.746125,6.0011849577178165
2016-01-07 05:00:00,146.362,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,5,3,0,1,131.244,111.252,121.20904166666666,7.83864096183917
2016-01-07 06:00:00,173.919,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,6,3,0,1,146.362,118.804,123.5055,13.284847367027503
2016-01-07 07:00:00,203.965,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,7,3,0,1,173.919,115.181,127.20483333333334,20.99192094005749
2016-01-07 08:00:00,231.252,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,8,3,0,1,203.965,119.254,131.87141666666668,29.763667864955156
2016-01-07 09:00:00,251.99,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,9,3,0,1,231.252,117.037,137.49445833333334,38.34892100514774
2016-01-07 10:00:00,275.157,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,10,3,0,1,251.99,119.352,143.98633333333333,47.28961374677155
2016-01-07 11:00:00,289.111,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,11,3,0,1,275.157,118.044,151.114125,55.40519060231951
2016-01-07 12:00:00,285.328,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,12,3,0,1,289.111,116.697,158.14041666666665,61.2364922141072
2016-01-07 13:00:00,274.168,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,13,3,0,1,285.328,115.415,164.755125,64.88609336589815
2016-01-07 14:00:00,246.926,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,14,3,0,1,274.168,116.518,170.18879166666667,66.11957430685663
2016-01-07 15:00:00,222.825,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,15,3,0,1,246.926,115.438,174.66324999999998,65.88652268088119
2016-01-07 16:00:00,232.337,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,16,3,0,1,222.825,111.608,179.693625,65.47045924478334
2016-01-07 17:00:00,235.993,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,17,3,0,1,232.337,113.558,184.79508333333334,64.86034008137042
2016-01-07 18:00:00,234.914,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,18,3,0,1,235.993,115.079,189.78820833333336,63.86503699342947
2016-01-07 19:00:00,215.462,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,19,3,0,1,234.914,131.866,193.271375,62.8400559092635
2016-01-07 20:00:00,182.921,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,20,3,0,1,215.462,130.018,195.47566666666668,61.43699409021078
2016-01-07 21:00:00,169.939,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,21,3,0,1,182.921,128.246,197.21287500000003,60.026610556458664
2016-01-07 22:00:00,135.406,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,22,3,0,1,169.939,119.031,197.89516666666668,59.18650445297757
2016-01-07 23:00:00,131.035,7.45,10.85,0.85,3.14,89.83,10.39,8.61,13.09,0.84,0,23,3,0,1,135.406,119.965,198.35641666666666,58.592935502288825
2016-01-08 00:00:00,130.526,8.16,10.14,0.14,9.61,90.28,10.13,8.08,12.2,0.96,0,0,4,0,1,131.035,119.208,198.82799999999997,57.97045509567798
2016-01-08 01:00:00,133.645,8.16,10.14,0.14,9.61,90.28,10.13,8.08,12.2,0.96,0,1,4,0,1,130.526,120.027,199.39541666666665,57.22749912100776
2016-01-08 02:00:00,135.46,8.16,10.14,0.14,9.61,90.28,10.13,8.08,12.2,0.96,0,2,4,0,1,133.645,122.728,199.9259166666667,56.54078307997793
2016-01-08 03:00:00,137.595,8.16,10.14,0.14,9.61,90.28,10.13,8.08,12.2,0.96,0,3,4,0,1,135.46,128.337,200.31166666666664,56.060674579591506
2016-01-08 04:00:00,143.414,8.16,10.14,0.14,9.61,90.28,10.13,8.08,12.2,0.96,0,4,4,0,1,137.595,131.244,200.81875000000002,55.46060610469395
2016-01-08 05:00:00,152.849,8.16,10.14,0.14,9.61,90.28,10.13,8.08,12.2,0.96,0,5,4,0,1,143.414,146.362,201.08904166666665,55.19885749879356
2016-01-08 06:00:00,194.591,8.16,10.14,0.14,9.61,90.28,10.13,8.08,12.2,0.96,0,6,4,0,1,152.849,173.919,201.950375,54.91702313475952
2016-01-08 07:00:00,202.864,8.16,10.14,0.14,9.61,90.28,10.13,8.08,12.2,0.96,0,7,4,0,1,194.591,203.965,201.9045,54.91572689050979
2016-01-08 08:00:00,242.76,8.16,10.14,0.14,9.61,90.28,10.13,8.08,12.2,0.96,0,8,4,0,1,202.864,231.252,202.384,55.2324457322436
2016-01-08 09:00:00,262.508,8.16,10.14,0.14,9.61,90.28,10.13,8.08,12.2,0.96,0,9,4,0,1,242.76,251.99,202.82225000000003,55.68305535817656
2016-01-08 10:00:00,278.669,8.16,10.14,0.14,9.61,90.28,10.13,8.08,12.2,0.96,0,10,4,0,1,262.508,275.157,202.96858333333333,55.885659881051744
2016-01-08 11:00:00,281.037,8.16,10.14,0.14,9.61,90.28,10.13,8.08,12.2,0.96,0,11,4,0,1,278.669,289.111,202.63216666666665,55.36644960047858
2016-01-08 12:00:00,278.746,8.16,10.14,0.14,9.61,90.28,10.13,8.08,12.2,0.96,0,12,4,0,1,281.037,285.328,202.35791666666663,54.953781256866684
2016-01-08 13:00:00,272.582,8.16,10.14,0.14,9.61,90.28,10.13,8.08,12.2,0.96,0,13,4,0,1,278.746,274.168,202.29183333333333,54.86455445412175
2016-01-08 14:00:00,244.343,8.16,10.14,0.14,9.61,90.28,10.13,8.08,12.2,0.96,0,14,4,0,1,272.582,246.926,202.18420833333334,54.77565251886799
2016-01-08 15:00:00,229.812,8.16,10.14,0.14,9.61,90.28,10.13,8.08,12.2,0.96,0,15,4,0,1,244.343,222.825,202.4753333333333,54.90853145294324
2016-01-08 16:00:00,227.582,8.16,10.14,0.14,9.61,90.28,10.13,8.08,12.2,0.96,0,16,4,0,1,229.812,232.337,202.27720833333333,54.80457791730411
